id,pair_type,comet_score
40,tf_es,0.8867408633232117
41,base_tf,0.9448609948158264
41,base_es,0.9489693641662598
41,tf_es,0.9470020532608032
42,base_tf,0.934339702129364
42,base_es,0.9580068588256836
42,tf_es,0.9263761639595032
43,base_tf,0.9597343802452087
43,base_es,0.9630071520805359
43,tf_es,0.9619867205619812
44,base_tf,0.9487096667289734
44,base_es,0.9549856781959534
44,tf_es,0.9446565508842468
45,base_tf,0.9416200518608093
45,base_es,0.9521574378013611
45,tf_es,0.9354973435401917
46,base_tf,0.9637951254844666
46,base_es,0.9539616703987122
46,tf_es,0.9529274106025696
47,base_tf,0.9521613717079163
47,base_es,0.9493792057037354
47,tf_es,0.9467715620994568
48,base_tf,0.9450171589851379
48,base_es,0.938996434211731
48,tf_es,0.9412510395050049
49,base_tf,0.9604806303977966
49,base_es,0.9648496508598328
49,tf_es,0.9516181349754333
50,base_tf,0.955210268497467
50,base_es,0.9630656838417053
50,tf_es,0.9618440866470337
51,base_tf,0.9404361248016357
51,base_es,0.959566056728363
51,tf_es,0.916510283946991
52,base_tf,0.9507822394371033
52,base_es,0.9399747252464294
52,tf_es,0.9103041291236877
53,base_tf,0.9306621551513672
53,base_es,0.9148552417755127
53,tf_es,0.8715070486068726
54,base_tf,0.9371221661567688
54,base_es,0.9181293845176697
54,tf_es,0.881679117679596
55,base_tf,0.9047453999519348
55,base_es,0.9316229820251465
55,tf_es,0.8691127300262451
56,base_tf,0.9296820759773254
56,base_es,0.93099445104599
56,tf_es,0.9205159544944763
57,base_tf,0.9175389409065247
57,base_es,0.92132169008255
57,tf_es,0.8911493420600891
58,base_tf,0.9305646419525146
58,base_es,0.9316580891609192
58,tf_es,0.9276535511016846
59,base_tf,0.9661860466003418
59,base_es,0.9712429642677307
59,tf_es,0.9675952792167664
60,base_tf,0.9637055993080139
60,base_es,0.9593044519424438
60,tf_es,0.9516452550888062
61,base_tf,0.9499048590660095
61,base_es,0.9570664763450623
61,tf_es,0.9403544068336487
62,base_tf,0.9351455569267273
62,base_es,0.9309234023094177
62,tf_es,0.889263927936554
63,base_tf,0.8692713975906372
63,base_es,0.9168137907981873
63,tf_es,0.8208208680152893
64,base_tf,0.9362034201622009
64,base_es,0.9514911770820618
64,tf_es,0.920183002948761
65,base_tf,0.9557917714118958
65,base_es,0.9599120020866394
65,tf_es,0.9484036564826965
66,base_tf,0.9135738015174866
66,base_es,0.9034839868545532
66,tf_es,0.897849977016449
67,base_tf,0.9435483813285828
67,base_es,0.9304848313331604
67,tf_es,0.9048823118209839
68,base_tf,0.928789496421814
68,base_es,0.9221497178077698
68,tf_es,0.9291155934333801
69,base_tf,0.9319525361061096
69,base_es,0.9415727257728577
69,tf_es,0.9441900253295898
70,base_tf,0.8858635425567627
70,base_es,0.9398716688156128
70,tf_es,0.8816270232200623
71,base_tf,0.9582086205482483
71,base_es,0.9634589552879333
71,tf_es,0.9634647965431213
72,base_tf,0.9493974447250366
72,base_es,0.9265463948249817
72,tf_es,0.9250578284263611
73,base_tf,0.9589601159095764
73,base_es,0.9664912819862366
73,tf_es,0.9413772225379944
74,base_tf,0.9381454586982727
74,base_es,0.9446036219596863
74,tf_es,0.9044573903083801
75,base_tf,0.9309667944908142
75,base_es,0.9602354168891907
75,tf_es,0.915520966053009
76,base_tf,0.9551719427108765
76,base_es,0.9548043608665466
76,tf_es,0.9432981610298157
77,base_tf,0.9407618045806885
77,base_es,0.8950449824333191
77,tf_es,0.8673269152641296
78,base_tf,0.9329181909561157
78,base_es,0.9414256811141968
78,tf_es,0.9415923953056335
79,base_tf,0.95298171043396
79,base_es,0.9620863199234009
79,tf_es,0.9584544897079468
80,base_tf,0.9481425881385803
80,base_es,0.9562647938728333
80,tf_es,0.926279604434967
81,base_tf,0.91758131980896
81,base_es,0.9560864567756653
81,tf_es,0.9080373644828796
82,base_tf,0.93683922290802
82,base_es,0.9362314939498901
82,tf_es,0.8675693869590759
83,base_tf,0.9057376980781555
83,base_es,0.9525745511054993
83,tf_es,0.8607298731803894
84,base_tf,0.9130056500434875
84,base_es,0.8562203049659729
84,tf_es,0.8291090726852417
85,base_tf,0.9338196516036987
85,base_es,0.9530066847801208
85,tf_es,0.9336972236633301
86,base_tf,0.944283127784729
86,base_es,0.9492636919021606
86,tf_es,0.9447557330131531
87,base_tf,0.9129238724708557
87,base_es,0.9429873824119568
87,tf_es,0.8875595927238464
88,base_tf,0.9602513313293457
88,base_es,0.9661672711372375
88,tf_es,0.9605816006660461
89,base_tf,0.8926969170570374
89,base_es,0.9084793925285339
89,tf_es,0.9097440838813782
90,base_tf,0.9379366636276245
90,base_es,0.9505552053451538
90,tf_es,0.8275211453437805
91,base_tf,0.9572705030441284
91,base_es,0.9358543753623962
91,tf_es,0.89017653465271
92,base_tf,0.9337432980537415
92,base_es,0.9476001858711243
92,tf_es,0.9074340462684631
93,base_tf,0.9717615842819214
93,base_es,0.9579538106918335
93,tf_es,0.9564065933227539
94,base_tf,0.9517998099327087
94,base_es,0.943245530128479
94,tf_es,0.9361815452575684
95,base_tf,0.9632583260536194
95,base_es,0.9519979357719421
95,tf_es,0.9413752555847168
96,base_tf,0.8894080519676208
96,base_es,0.8704256415367126
96,tf_es,0.8499931693077087
97,base_tf,0.8640522956848145
97,base_es,0.8838837742805481
97,tf_es,0.8375492095947266
98,base_tf,0.9438639283180237
98,base_es,0.9580780863761902
98,tf_es,0.9223756194114685
99,base_tf,0.9608054757118225
99,base_es,0.9610463976860046
99,tf_es,0.9654555916786194
100,base_tf,0.8935350775718689
100,base_es,0.8645994663238525
100,tf_es,0.8293120265007019
101,base_tf,0.9294560551643372
101,base_es,0.9448615908622742
101,tf_es,0.9118101000785828
102,base_tf,0.9622402191162109
102,base_es,0.9641876816749573
102,tf_es,0.9612535834312439
103,base_tf,0.8979261517524719
103,base_es,0.9314324259757996
103,tf_es,0.8690961599349976
104,base_tf,0.9544209241867065
104,base_es,0.9421793818473816
104,tf_es,0.9069891571998596
105,base_tf,0.9136927723884583
105,base_es,0.9222914576530457
105,tf_es,0.9352768063545227
106,base_tf,0.9573885798454285
106,base_es,0.9418172240257263
106,tf_es,0.9364603757858276
107,base_tf,0.9367069602012634
107,base_es,0.9215019941329956
107,tf_es,0.9330853819847107
108,base_tf,0.952211856842041
108,base_es,0.9571471810340881
108,tf_es,0.9421207308769226
109,base_tf,0.918536365032196
109,base_es,0.9394429326057434
109,tf_es,0.8755692839622498
110,base_tf,0.9475491642951965
110,base_es,0.940421998500824
110,tf_es,0.9303439259529114
111,base_tf,0.9247647523880005
111,base_es,0.9116125702857971
111,tf_es,0.9197112917900085
112,base_tf,0.965606153011322
112,base_es,0.9641066193580627
112,tf_es,0.9603189826011658
113,base_tf,0.9365708231925964
113,base_es,0.938801109790802
113,tf_es,0.9132604002952576
114,base_tf,0.9433767199516296
114,base_es,0.9578794836997986
114,tf_es,0.9168471693992615
115,base_tf,0.9638317823410034
115,base_es,0.9406770467758179
115,tf_es,0.9333563446998596
116,base_tf,0.9506152272224426
116,base_es,0.959166944026947
116,tf_es,0.9459250569343567
117,base_tf,0.9608854651451111
117,base_es,0.9627436399459839
117,tf_es,0.9415040016174316
118,base_tf,0.9300897717475891
118,base_es,0.9141858220100403
118,tf_es,0.8762085437774658
119,base_tf,0.9455062747001648
119,base_es,0.9323133230209351
119,tf_es,0.9334365725517273
120,base_tf,0.9046187400817871
120,base_es,0.9457307457923889
120,tf_es,0.8634116649627686
121,base_tf,0.9461024403572083
121,base_es,0.9391277432441711
121,tf_es,0.9287526607513428
122,base_tf,0.929302453994751
122,base_es,0.9239627718925476
122,tf_es,0.9236273765563965
123,base_tf,0.9305934309959412
123,base_es,0.8989835977554321
123,tf_es,0.9005704522132874
124,base_tf,0.9419351816177368
124,base_es,0.9614902138710022
124,tf_es,0.9042702317237854
125,base_tf,0.9529917240142822
125,base_es,0.9603622555732727
125,tf_es,0.9540851712226868
126,base_tf,0.9708364009857178
126,base_es,0.9475658535957336
126,tf_es,0.9468270540237427
127,base_tf,0.9608717560768127
127,base_es,0.9648647904396057
127,tf_es,0.9420590996742249
128,base_tf,0.9311106204986572
128,base_es,0.9335933923721313
128,tf_es,0.9049475789070129
129,base_tf,0.935870349407196
129,base_es,0.9608312845230103
129,tf_es,0.923961341381073
130,base_tf,0.8862664103507996
130,base_es,0.86684650182724
130,tf_es,0.9459735751152039
131,base_tf,0.9446669220924377
131,base_es,0.9211357235908508
131,tf_es,0.9228742718696594
132,base_tf,0.9360843896865845
132,base_es,0.9419432878494263
132,tf_es,0.857400119304657
133,base_tf,0.9481403231620789
133,base_es,0.9427609443664551
133,tf_es,0.924946129322052
134,base_tf,0.9582216739654541
134,base_es,0.9563120603561401
134,tf_es,0.9528797268867493
135,base_tf,0.9192160964012146
135,base_es,0.9514187574386597
135,tf_es,0.9022526144981384
136,base_tf,0.8905332684516907
136,base_es,0.8794161677360535
136,tf_es,0.9140904545783997
137,base_tf,0.9101719856262207
137,base_es,0.9041014313697815
137,tf_es,0.9205862879753113
138,base_tf,0.9502396583557129
138,base_es,0.905019998550415
138,tf_es,0.9001709222793579
139,base_tf,0.9369178414344788
139,base_es,0.9118483662605286
139,tf_es,0.87893146276474
140,base_tf,0.9222432374954224
140,base_es,0.9385026693344116
140,tf_es,0.8650632500648499
141,base_tf,0.9612406492233276
141,base_es,0.9624884724617004
141,tf_es,0.9642928838729858
142,base_tf,0.9489498138427734
142,base_es,0.9221516251564026
142,tf_es,0.9104825854301453
143,base_tf,0.9224221110343933
143,base_es,0.9214125275611877
143,tf_es,0.8993821740150452
144,base_tf,0.9698503017425537
144,base_es,0.9703118205070496
144,tf_es,0.9607138633728027
145,base_tf,0.9641400575637817
145,base_es,0.9696409106254578
145,tf_es,0.9598921537399292
146,base_tf,0.9563115835189819
146,base_es,0.9572500586509705
146,tf_es,0.9552097320556641
147,base_tf,0.9415270090103149
147,base_es,0.9476094841957092
147,tf_es,0.9483863711357117
148,base_tf,0.9410831332206726
148,base_es,0.9228311777114868
148,tf_es,0.9289290308952332
149,base_tf,0.9379479289054871
149,base_es,0.9406648874282837
149,tf_es,0.9509592652320862
150,base_tf,0.9561983346939087
150,base_es,0.9619565606117249
150,tf_es,0.9498772025108337
151,base_tf,0.9437761306762695
151,base_es,0.941623866558075
151,tf_es,0.9292625784873962
152,base_tf,0.9265409111976624
152,base_es,0.9470201730728149
152,tf_es,0.9004736542701721
153,base_tf,0.9510651230812073
153,base_es,0.9567360281944275
153,tf_es,0.9348374605178833
154,base_tf,0.9477319121360779
154,base_es,0.9425846934318542
154,tf_es,0.892008364200592
155,base_tf,0.9401745796203613
155,base_es,0.881447970867157
155,tf_es,0.867268443107605
156,base_tf,0.9459049701690674
156,base_es,0.9430554509162903
156,tf_es,0.9229534268379211
157,base_tf,0.9476005434989929
157,base_es,0.9460799098014832
157,tf_es,0.935126781463623
158,base_tf,0.9388077855110168
158,base_es,0.9477007985115051
158,tf_es,0.8918769955635071
159,base_tf,0.9371039271354675
159,base_es,0.944973886013031
159,tf_es,0.9100926518440247
160,base_tf,0.9010130763053894
160,base_es,0.912212073802948
160,tf_es,0.8833561539649963
161,base_tf,0.9406824111938477
161,base_es,0.953511118888855
161,tf_es,0.9176883697509766
162,base_tf,0.9503946900367737
162,base_es,0.9369252324104309
162,tf_es,0.9358677864074707
163,base_tf,0.9660465121269226
163,base_es,0.9662134051322937
163,tf_es,0.9620208144187927
164,base_tf,0.9516713619232178
164,base_es,0.9507561326026917
164,tf_es,0.9464618563652039
165,base_tf,0.9641373753547668
165,base_es,0.9668138027191162
165,tf_es,0.9510787725448608
166,base_tf,0.958552896976471
166,base_es,0.9193874001502991
166,tf_es,0.9043693542480469
167,base_tf,0.9610761404037476
167,base_es,0.9654790759086609
167,tf_es,0.9549051523208618
168,base_tf,0.9282373189926147
168,base_es,0.9411316514015198
168,tf_es,0.8992535471916199
169,base_tf,0.9192280769348145
169,base_es,0.9132880568504333
169,tf_es,0.8547936081886292
170,base_tf,0.9259721636772156
170,base_es,0.946690559387207
170,tf_es,0.8823312520980835
171,base_tf,0.9516142010688782
171,base_es,0.9652908444404602
171,tf_es,0.9598756432533264
172,base_tf,0.9276490807533264
172,base_es,0.9009720683097839
172,tf_es,0.8615100979804993
173,base_tf,0.9576128125190735
173,base_es,0.9280478954315186
